,time,open,high,low,close,vwap,volume,count
0,1700733300,0.86979,0.86993,0.86979,0.86983,0.86984,730.93533319,3
1,1700733600,0.86991,0.86994,0.86980,0.86986,0.86985,1560.17332855,13
2,1700733900,0.86980,0.86980,0.86964,0.86964,0.86979,151.51000000,2
3,1700734200,0.86973,0.86981,0.86951,0.86966,0.86961,13931.88605587,17
4,1700734500,0.86967,0.86990,0.86967,0.86984,0.86979,3763.00407785,10
5,1700734800,0.87009,0.87016,0.86985,0.87016,0.87001,5504.08107928,11
6,1700735100,0.87026,0.87047,0.87026,0.87037,0.87035,7605.82601188,13
7,1700735400,0.87016,0.87021,0.87004,0.87004,0.87014,1729.91988248,6
8,1700735700,0.87027,0.87029,0.87021,0.87027,0.87027,1258.96193049,7
9,1700736000,0.87027,0.87027,0.87015,0.87018,0.87022,520.84668362,4
10,1700736300,0.87015,0.87015,0.87015,0.87015,0.87015,142.19664319,1
11,1700736600,0.87008,0.87012,0.86998,0.87008,0.87001,3745.32663091,7
12,1700736900,0.87010,0.87017,0.87010,0.87016,0.87014,2798.78338326,8
13,1700737200,0.87009,0.87017,0.87005,0.87009,0.87010,2344.60820957,8
14,1700737500,0.87024,0.87032,0.87024,0.87032,0.87029,1487.86641319,5
15,1700737800,0.87035,0.87042,0.87034,0.87034,0.87038,1969.75800916,4
16,1700738100,0.87032,0.87036,0.87020,0.87036,0.87032,1098.06341429,7
17,1700738400,0.87040,0.87040,0.86984,0.86984,0.86996,4966.52561130,16
18,1700738700,0.86991,0.87007,0.86960,0.86963,0.86985,12330.26424166,17
19,1700739000,0.86957,0.86978,0.86941,0.86959,0.86955,6281.33345831,14
20,1700739300,0.86956,0.86972,0.86906,0.86944,0.86929,26323.20675859,20
21,1700739600,0.86942,0.86943,0.86904,0.86904,0.86926,7658.25290169,38
22,1700739900,0.86903,0.86947,0.86903,0.86947,0.86924,631.54378279,4
23,1700740200,0.86947,0.86947,0.86933,0.86942,0.86943,1481.95794292,4
24,1700740500,0.86950,0.86950,0.86942,0.86942,0.86944,1759.90477053,3
25,1700740800,0.86936,0.86945,0.86934,0.86945,0.86943,843.89920319,6
26,1700741100,0.86952,0.86960,0.86931,0.86931,0.86947,13810.64449622,23
27,1700741400,0.86917,0.86940,0.86911,0.86936,0.86923,9077.78919198,25
28,1700741700,0.86916,0.86924,0.86913,0.86924,0.86920,870.42507219,3
29,1700742000,0.86927,0.86927,0.86907,0.86907,0.86910,732.14249275,6
30,1700742300,0.86920,0.86920,0.86917,0.86917,0.86918,28.75000000,2
31,1700742600,0.86906,0.86919,0.86906,0.86913,0.86913,673.30192476,5
32,1700742900,0.86905,0.86917,0.86904,0.86917,0.86911,1653.40767357,6
33,1700743200,0.86916,0.86934,0.86853,0.86934,0.86889,27273.62451024,29
34,1700743500,0.86930,0.86934,0.86914,0.86922,0.86926,3798.18380451,13
35,1700743800,0.86923,0.86932,0.86923,0.86926,0.86927,367.91679679,6
36,1700744100,0.86929,0.86943,0.86929,0.86942,0.86935,2518.87131503,8
37,1700744400,0.86932,0.86937,0.86917,0.86935,0.86927,3783.95539022,12
38,1700744700,0.86939,0.86956,0.86934,0.86936,0.86943,5037.66580552,19
39,1700745000,0.86963,0.86963,0.86963,0.86963,0.86963,33.76983319,1
40,1700745300,0.86955,0.86977,0.86955,0.86965,0.86962,776.92688352,8
41,1700745600,0.86962,0.86965,0.86958,0.86960,0.86962,486.54365491,5
42,1700745900,0.86958,0.86958,0.86944,0.86945,0.86948,1040.99009100,5
43,1700746200,0.86946,0.86957,0.86940,0.86944,0.86947,2408.97712517,10
44,1700746500,0.86943,0.86945,0.86938,0.86938,0.86944,811.92617606,4
45,1700746800,0.86942,0.86947,0.86941,0.86945,0.86944,2654.24745414,9
46,1700747100,0.86945,0.86946,0.86915,0.86923,0.86928,32641.37242745,68
47,1700747400,0.86924,0.86933,0.86924,0.86932,0.86930,3021.13456704,3
48,1700747700,0.86908,0.86908,0.86907,0.86907,0.86907,1972.68455007,2
49,1700748000,0.86919,0.86919,0.86914,0.86914,0.86916,601.37162081,4
50,1700748300,0.86950,0.86951,0.86950,0.86951,0.86950,4929.62216892,2
51,1700748600,0.86951,0.86951,0.86951,0.86951,0.00000,0.00000000,0
52,1700748900,0.86913,0.86913,0.86913,0.86913,0.86913,275.53019319,2
53,1700749200,0.86924,0.86930,0.86921,0.86921,0.86924,1175.84370230,4
54,1700749500,0.86921,0.86921,0.86911,0.86911,0.86911,361.54797658,2
55,1700749800,0.86947,0.86950,0.86931,0.86950,0.86942,1972.43049849,4
56,1700750100,0.86939,0.86939,0.86939,0.86939,0.86939,150.00000000,1
57,1700750400,0.86947,0.86958,0.86942,0.86950,0.86948,3896.49547083,9
58,1700750700,0.86965,0.86971,0.86964,0.86971,0.86966,363.21038877,5
59,1700751000,0.86962,0.86962,0.86943,0.86943,0.86956,170.91542612,6
60,1700751300,0.86941,0.86943,0.86930,0.86933,0.86935,2190.49666816,12
61,1700751600,0.86964,0.86975,0.86952,0.86973,0.86965,8679.27552413,16
62,1700751900,0.86981,0.86981,0.86975,0.86975,0.86976,310.91456525,2
63,1700752200,0.86982,0.86994,0.86982,0.86994,0.86989,845.52321994,7
64,1700752500,0.86983,0.87000,0.86983,0.87000,0.86983,419.15068965,3
65,1700752800,0.86987,0.86999,0.86986,0.86990,0.86987,460.49213791,8
66,1700753100,0.87002,0.87013,0.86981,0.86982,0.86998,9036.81111721,18
67,1700753400,0.86974,0.86974,0.86974,0.86974,0.86974,25.54361072,2
68,1700753700,0.87001,0.87001,0.87000,0.87000,0.87000,54.29890736,2
