,time,open,high,low,close,vwap,volume,count
0,1698357600,1.05620,1.05652,1.05618,1.05650,1.05640,59834.97468828,343
1,1698361200,1.05650,1.05668,1.05630,1.05644,1.05643,199857.31792235,513
2,1698364800,1.05639,1.05650,1.05578,1.05584,1.05605,26430.13789368,216
3,1698368400,1.05581,1.05639,1.05537,1.05587,1.05577,69171.63319323,430
4,1698372000,1.05590,1.05669,1.05587,1.05656,1.05608,80186.47484090,284
5,1698375600,1.05653,1.05662,1.05615,1.05652,1.05642,23461.69171011,123
6,1698379200,1.05660,1.05699,1.05637,1.05679,1.05682,73006.89945244,332
7,1698382800,1.05673,1.05707,1.05662,1.05688,1.05685,109175.33511245,392
8,1698386400,1.05689,1.05689,1.05566,1.05588,1.05606,52358.38628754,264
9,1698390000,1.05577,1.05653,1.05523,1.05577,1.05566,210184.68734775,504
10,1698393600,1.05572,1.05621,1.05526,1.05621,1.05581,122353.20945068,510
11,1698397200,1.05624,1.05716,1.05591,1.05658,1.05643,308886.02639238,884
12,1698400800,1.05653,1.05711,1.05583,1.05613,1.05641,187024.57007956,584
13,1698404400,1.05612,1.05612,1.05381,1.05403,1.05478,158930.21654842,554
14,1698408000,1.05415,1.05671,1.05370,1.05554,1.05487,328445.40867273,857
15,1698411600,1.05541,1.05839,1.05541,1.05763,1.05737,400419.92739638,1580
16,1698415200,1.05742,1.05894,1.05605,1.05717,1.05751,245274.41911290,1040
17,1698418800,1.05729,1.05902,1.05700,1.05860,1.05836,392461.32107305,1135
18,1698422400,1.05861,1.05914,1.05740,1.05766,1.05803,177316.01052352,779
19,1698426000,1.05776,1.05776,1.05580,1.05661,1.05670,323051.65281512,1013
20,1698429600,1.05669,1.05762,1.05594,1.05676,1.05659,342219.57843472,841
21,1698433200,1.05696,1.05725,1.05628,1.05700,1.05682,317785.38338002,686
22,1698436800,1.05700,1.05707,1.05623,1.05647,1.05659,98402.70047509,581
23,1698440400,1.05647,1.05665,1.05633,1.05648,1.05648,50146.88904685,244
24,1698444000,1.05648,1.05676,1.05639,1.05653,1.05656,91446.36264166,467
25,1698447600,1.05653,1.05668,1.05633,1.05657,1.05650,127288.70838079,572
26,1698451200,1.05668,1.05672,1.05642,1.05662,1.05660,86761.17234439,686
27,1698454800,1.05662,1.05665,1.05645,1.05657,1.05656,89076.22520485,430
28,1698458400,1.05656,1.05687,1.05645,1.05662,1.05658,109608.33181849,686
