,time,open,high,low,close,vwap,volume,count
0,1700733300,1.25571,1.25571,1.25523,1.25540,1.25550,2330.22441459,11
1,1700733600,1.25562,1.25563,1.25508,1.25520,1.25533,1893.10339957,16
2,1700733900,1.25528,1.25540,1.25513,1.25518,1.25527,2066.18407360,14
3,1700734200,1.25517,1.25540,1.25517,1.25527,1.25529,5521.06030891,17
4,1700734500,1.25517,1.25517,1.25455,1.25455,1.25485,1145.64750000,8
5,1700734800,1.25455,1.25455,1.25415,1.25441,1.25426,10511.98636913,22
6,1700735100,1.25440,1.25440,1.25378,1.25394,1.25406,2709.05895677,27
7,1700735400,1.25427,1.25452,1.25427,1.25452,1.25441,1844.48000000,7
8,1700735700,1.25441,1.25461,1.25441,1.25461,1.25450,1270.18590319,14
9,1700736000,1.25452,1.25462,1.25442,1.25450,1.25454,1504.69613793,13
10,1700736300,1.25456,1.25456,1.25443,1.25443,1.25447,228.99000000,4
11,1700736600,1.25455,1.25457,1.25428,1.25439,1.25451,4606.21706924,19
12,1700736900,1.25439,1.25454,1.25433,1.25437,1.25443,2353.58320428,18
13,1700737200,1.25454,1.25454,1.25437,1.25446,1.25445,365.36000000,10
14,1700737500,1.25449,1.25453,1.25403,1.25403,1.25430,4342.58050000,16
15,1700737800,1.25408,1.25427,1.25365,1.25397,1.25394,20454.49287230,15
16,1700738100,1.25377,1.25404,1.25363,1.25397,1.25399,71790.85009540,22
17,1700738400,1.25391,1.25479,1.25391,1.25473,1.25423,189629.27637999,35
18,1700738700,1.25475,1.25544,1.25465,1.25535,1.25491,43424.06733310,26
19,1700739000,1.25532,1.25556,1.25508,1.25528,1.25543,132930.02137559,34
20,1700739300,1.25529,1.25531,1.25510,1.25524,1.25521,70656.93883605,21
21,1700739600,1.25539,1.25555,1.25535,1.25552,1.25545,41889.34811924,8
22,1700739900,1.25530,1.25530,1.25501,1.25501,1.25510,16532.72512685,11
23,1700740200,1.25491,1.25509,1.25482,1.25488,1.25503,40535.51000000,10
24,1700740500,1.25488,1.25519,1.25484,1.25499,1.25504,2159.69934197,12
25,1700740800,1.25506,1.25526,1.25394,1.25499,1.25473,46883.11507568,22
26,1700741100,1.25447,1.25462,1.25447,1.25452,1.25457,684.10850493,7
27,1700741400,1.25462,1.25486,1.25408,1.25438,1.25442,210511.87109062,46
28,1700741700,1.25455,1.25467,1.25428,1.25439,1.25440,5336.90504314,22
29,1700742000,1.25450,1.25469,1.25433,1.25433,1.25452,3371.74166949,18
30,1700742300,1.25434,1.25447,1.25421,1.25421,1.25444,2840.04744313,21
31,1700742600,1.25455,1.25455,1.25380,1.25408,1.25401,4886.05599927,18
32,1700742900,1.25413,1.25421,1.25393,1.25395,1.25399,2051.78747532,10
33,1700743200,1.25390,1.25399,1.25371,1.25373,1.25383,2220.28025149,13
34,1700743500,1.25380,1.25411,1.25342,1.25347,1.25383,13693.81484416,66
35,1700743800,1.25372,1.25400,1.25368,1.25390,1.25373,3873.08277545,14
36,1700744100,1.25374,1.25377,1.25343,1.25347,1.25361,3413.39945652,24
37,1700744400,1.25381,1.25385,1.25356,1.25362,1.25371,5262.36016839,17
38,1700744700,1.25317,1.25353,1.25310,1.25320,1.25322,3140.77341395,22
39,1700745000,1.25320,1.25320,1.25278,1.25318,1.25296,901.86094424,9
40,1700745300,1.25314,1.25330,1.25291,1.25309,1.25308,2317.00824823,13
41,1700745600,1.25308,1.25319,1.25302,1.25319,1.25309,1835.91035297,9
42,1700745900,1.25301,1.25344,1.25301,1.25339,1.25323,1706.04343782,11
43,1700746200,1.25322,1.25347,1.25320,1.25333,1.25331,968.43258963,5
44,1700746500,1.25347,1.25356,1.25327,1.25327,1.25334,3154.14869631,12
45,1700746800,1.25350,1.25368,1.25326,1.25328,1.25334,6298.86082249,12
46,1700747100,1.25354,1.25372,1.25331,1.25352,1.25350,14873.99535847,42
47,1700747400,1.25338,1.25358,1.25316,1.25333,1.25329,2369.14945296,7
48,1700747700,1.25326,1.25336,1.25325,1.25329,1.25327,304.49379319,5
49,1700748000,1.25298,1.25309,1.25293,1.25293,1.25298,794.97257068,5
50,1700748300,1.25290,1.25308,1.25265,1.25274,1.25297,5858.11223592,12
51,1700748600,1.25280,1.25316,1.25278,1.25288,1.25298,2369.61321050,13
